1,2,3,4,5,6,7,8,9,10
54.059712,1769.0,5.0,7.9838327,30.061901,2,1,1,1,2
7.5330907,1596.0,5.0,13.997242,14.364476,2,1,1,1,1
52.163544,1827.0,5.0,20.254748,27.101899,2,1,1,1,1
5.2542509,1900.0,5.0,5.2159023,20.64479,2,1,1,1,1
57.620525,1833.0,5.0,0.72042658,26.25388,2,1,1,1,1
58.424898,1500.0,5.0,21.421965,33.255415,2,1,1,1,1
23.409158,1862.0,5.0,1.6815228,31.524699,2,1,1,1,1
47.63655,1622.0,5.0,16.506879,29.874147,2,1,1,1,1
21.667637,1628.0,5.0,17.530179,24.093979,2,1,1,1,1
69.335211,1782.0,5.0,18.064337,19.836838,2,1,1,1,1
14.448234,1543.0,5.0,2.3074886,14.109507,2,1,1,1,1
64.917565,1944.0,5.0,7.4769274,29.562014,2,1,1,1,1
12.015426,1521.0,5.0,17.808175,32.69438,2,1,1,1,1
9.3354053,1715.0,5.0,23.10882,24.816365,2,1,1,1,1
37.765084,1921.0,5.0,13.229669,28.497511,2,1,1,1,1
5.1660645,1800.0,5.0,15.607294,31.232166,2,1,1,1,1
45.060738,1769.0,5.0,15.626565,12.966394,2,1,1,1,1
39.482155,1655.0,5.0,0.16597069,32.542475,2,1,1,1,1
54.124926,1638.0,5.0,18.708645,26.504465,2,1,1,1,1
53.334933,1560.0,5.0,22.430382,24.993099,2,1,1,1,1
34.499106,1537.0,5.0,13.4292,27.893102,2,1,1,1,1
3.6919394,1989.0,5.0,7.7325491,21.733249,2,1,1,1,1
25.214561,1950.0,5.0,1.8620581,29.714604,2,1,1,1,1
60.168616,1784.0,5.0,9.8252903,18.265923,2,1,1,1,1
26.812153,1931.0,5.0,21.913362,15.830913,2,1,1,1,1
4.6123188,1683.0,5.0,5.2662426,28.881503,2,1,1,1,1
12.904631,1733.0,5.0,14.495017,16.324879,2,1,1,1,1
31.269282,1562.0,5.0,2.7364244,26.412195,2,1,1,1,1
55.171421,1664.0,5.0,11.811101,20.187016,2,1,1,1,1
46.736393,1788.0,5.0,5.4898787,24.282391,2,1,1,1,1
70.540401,1753.0,5.0,20.203244,35.797817,2,1,1,1,1
45.845737,1903.0,5.0,15.164032,31.793789,2,1,1,1,1
43.331532,1560.0,5.0,12.399576,15.672448,2,1,1,1,1
11.080845,1913.0,5.0,8.7565329,35.611863,2,1,1,1,1
37.456135,1623.0,5.0,14.734877,33.508384,2,1,1,1,1
30.19212,1662.0,5.0,6.9075228,32.790014,2,1,1,1,1
60.508856,1644.0,5.0,2.4971371,31.477992,2,1,1,1,1
46.514793,1886.0,5.0,16.885959,14.075588,2,1,1,1,1
22.727892,1985.0,5.0,17.248908,12.231041,2,1,1,1,1
7.6581711,1986.0,5.0,17.844748,21.626282,2,1,1,1,1
35.475104,1896.0,5.0,0.15265889,32.930308,2,1,1,1,1
40.957431,1675.0,5.0,7.2892978,19.389005,2,1,1,1,1
51.173,1926.0,5.0,20.642121,30.250327,2,1,1,1,1
9.3409587,2000.0,5.0,17.476672,25.616273,2,1,1,1,1
1.8308366,1774.0,5.0,9.7711135,22.950965,2,1,1,1,1
63.468146,1612.0,5.0,9.0657132,13.578884,2,1,1,1,1
61.367495,1619.0,5.0,18.621241,30.650095,2,1,1,1,1
45.946777,1770.0,5.0,8.0812989,16.782748,2,1,1,1,1
9.534233,1772.0,5.0,12.873975,18.947065,2,1,1,1,1
23.433231,1631.0,5.0,1.1008767,17.669885,2,1,1,1,1
42.976227,1501.0,5.0,14.62142,13.61818,2,1,1,1,1
19.467948,1561.0,5.0,4.3265981,34.424929,2,1,1,1,1
51.391395,1702.0,5.0,8.1902061,18.43382,2,1,1,1,1
32.826708,1514.0,5.0,23.71907,28.08259,2,1,1,1,1
30.051073,1558.0,5.0,13.474603,12.784156,2,1,1,1,1
10.626109,1920.0,5.0,11.765296,34.696936,2,1,1,1,1
64.262547,1812.0,5.0,18.583803,13.416772,2,1,1,1,1
2.3228405,1917.0,5.0,3.3052419,16.171702,2,1,1,1,1
50.231102,1608.0,5.0,5.9067073,27.611782,2,1,1,1,1
26.683925,1954.0,5.0,17.264838,21.203369,2,1,1,1,1
26.701283,1945.0,5.0,13.136064,35.884024,2,1,1,1,1
58.657112,1861.0,5.0,4.6917618,18.097822,2,1,1,1,1
65.030234,1920.0,5.0,0.088899082,28.42406,2,1,1,1,1
30.339023,1929.0,5.0,8.8771545,31.210282,2,1,1,1,1
26.498832,1970.0,5.0,23.520876,14.466455,2,1,1,1,1
14.111713,1567.0,5.0,20.781144,14.182304,2,1,1,1,1
30.843994,1888.0,5.0,4.8148744,34.405907,2,1,1,1,1
14.545629,1882.0,5.0,1.4397147,29.03397,2,1,1,1,1
12.302586,1511.0,5.0,16.883523,25.293333,2,1,1,1,1
56.796838,1722.0,5.0,23.552361,16.312629,2,1,1,1,1
14.248337,1734.0,5.0,5.6881195,20.754715,2,1,1,1,1
33.892147,1513.0,5.0,7.4295483,27.674714,2,1,1,1,1
58.099109,1957.0,5.0,17.377405,24.434904,2,1,1,1,1
51.586406,1744.0,5.0,0.24740214,14.739682,2,1,1,1,1
46.759489,1769.0,5.0,22.084885,23.780905,2,1,1,1,1
44.189803,1847.0,5.0,20.18334,23.380808,2,1,1,1,1
4.1243941,1770.0,5.0,14.953548,34.906846,2,1,1,1,1
32.446351,1988.0,5.0,23.131297,13.076051,2,1,1,1,1
44.610364,1785.0,5.0,14.300417,34.711473,2,1,1,1,1
60.26425,1581.0,5.0,22.506004,28.431736,2,1,1,1,1
11.480664,1761.0,5.0,19.776171,22.920122,2,1,1,1,1
69.845845,1656.0,5.0,23.171392,23.894935,2,1,1,1,1
40.783174,1637.0,5.0,18.720831,25.060368,2,1,1,1,1
23.708337,1682.0,5.0,21.774012,14.555209,2,1,1,1,1
56.547668,1878.0,5.0,10.151669,21.315608,2,1,1,1,1
47.093697,1593.0,5.0,12.799601,14.710346,2,1,1,1,1
39.351668,1701.0,5.0,17.577168,15.374675,2,1,1,1,1
29.928455,1956.0,5.0,2.3434817,17.338188,2,1,1,1,1
69.617172,1500.0,5.0,16.339306,30.384547,2,1,1,1,1
20.805941,1675.0,5.0,15.808561,30.462584,2,1,1,1,1
2.0685119,1723.0,5.0,16.144536,25.001786,2,1,1,1,1
53.652636,1627.0,5.0,12.677398,34.633395,2,1,1,1,1
6.7300214,1988.0,5.0,1.0022655,28.962613,2,1,1,1,1
49.611958,1663.0,5.0,9.4428249,24.846672,2,1,1,1,1
20.87467,1868.0,5.0,2.7579765,33.177432,2,1,1,1,1
26.089917,1951.0,5.0,1.5572926,31.10186,2,1,1,1,1
7.2159737,1731.0,5.0,3.1706678,24.532445,2,1,1,1,1
10.291607,1649.0,5.0,2.6744057,16.074727,2,1,1,1,1
42.952045,1708.0,5.0,0.52674872,17.467268,2,1,1,1,1
32.690712,1862.0,5.0,3.1924224,17.995497,2,1,1,1,1
2.3827052,2000.0,5.0,11.834232,14.368602,2,1,1,1,1
10.959811,1677.0,5.0,0.3101848,22.280661,2,1,1,1,1
69.666215,1908.0,5.0,3.1524707,35.316321,2,1,1,1,1
52.702363,1977.0,5.0,18.523461,33.05883,2,1,1,1,1
58.797251,1682.0,5.0,5.0813792,17.779649,2,1,1,1,1
49.969784,1676.0,5.0,12.752669,20.485065,2,1,1,1,1
7.0557068,1553.0,5.0,9.4428429,23.143847,2,1,1,1,1
16.057159,1611.0,5.0,0.62539691,22.349822,2,1,1,1,1
70.308332,1736.0,5.0,13.892571,21.15272,2,1,1,1,1
15.86056,1647.0,5.0,20.270954,31.825623,2,1,1,1,1
36.704907,1932.0,5.0,1.3642175,30.267862,2,1,1,1,1
52.388238,1774.0,5.0,20.760896,13.720038,2,1,1,1,1
49.081005,1550.0,5.0,2.8190587,20.549479,2,1,1,1,1
66.096153,1771.0,5.0,1.5145242,24.888203,2,1,1,1,1
22.999893,1814.0,5.0,18.124633,31.93383,2,1,1,1,1
37.312765,1633.0,5.0,17.445159,12.261356,2,1,1,1,1
24.755358,1937.0,5.0,5.883037,21.022383,2,1,1,1,1
51.862012,1838.0,5.0,7.0180146,32.484547,2,1,1,1,1
59.287348,1576.0,5.0,5.7577881,12.637289,2,1,1,1,1
68.903824,1777.0,5.0,13.683287,15.5307,2,1,1,1,1
56.740148,1992.0,5.0,20.560638,33.215437,2,1,1,1,1
64.980897,1611.0,5.0,21.581796,23.547023,2,1,1,1,1
45.82191,1678.0,5.0,17.596234,26.782923,2,1,1,1,1
20.653056,1623.0,5.0,9.6766872,30.748992,2,1,1,1,1
